data	zs	data.1	zs.1	data.2	zs.2	data.3	zs.3	data.4	zs.4	data.5	zs.5	data.6	zs.6	data.7	zs.7	data.8	zs.8	data.9	zs.9
1e+24	54.0555301703467	6141421559931.63	2.99488001855612	6141421559931.63	53.9714741232988	19143276946.1363	2.99488001855612	19143276946.1363	53.8979824283864	81336644.8668218	2.99488001855613	81336644.8668218	53.8500024098039	429138.834701531	2.99488001855612	429138.834701531	7.47770075086716	144998.581366821	2.71181096435291
1.1e+14	-0.0184931620902751	1.1e+14	53.9714748366165	342882082761.35	2.99488001855613	342882082761.35	53.9712452854985	1069948292.0875	2.99488001855612	1069948292.0875	39.4350088908373	4577884.74019496	2.99182281272967	4577884.74019496	34.4988403067214	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
-1e+09	-0.0184931680384717	-1e+09	-0.019986348433862	-1e+09	-0.0282842492455961	-1e+09	-0.176908549372072	-1e+09	-2.8350803563181	-1e+09	-36.8630832211499	-4453056.25860154	-2.99182281272967	-4453056.25860154	-34.0786076912683	-123172.824855308	-2.97089042769973	-123172.824855308	-3.67649166894701
842174.843	-0.0184931680384176	842174.843	-0.0194951080684526	842174.843	-0.0194855637299156	842174.843	-0.0193145403656912	842174.843	-0.0162320579611975	842174.843	0.0278617061375597	842174.843	0.516647281484955	842174.843	6.13131456996779	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
588356.7115	-0.0184931680384176	588356.7115	-0.0194952326492455	588356.7115	-0.0194877951166151	588356.7115	-0.0193545069237631	588356.7115	-0.0169469307214138	588356.7115	0.0185059945717653	588356.7115	0.348474579170254	588356.7115	4.20391855263053	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
529630.9524	-0.0184931680384176	529630.9524	-0.0194952614734338	529630.9524	-0.0194883113913075	529630.9524	-0.019363753963947	529630.9524	-0.0171123304320472	529630.9524	0.0163413688203464	529630.9524	0.309564555111042	529630.9524	3.75797801427917	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
515238.2978	-0.0184931680384176	515238.2978	-0.0194952685377373	515238.2978	-0.0194884379211888	515238.2978	-0.0193660202514753	515238.2978	-0.0171528670030949	515238.2978	0.0158108569758696	515238.2978	0.30002838997083	515238.2978	3.64868580181581	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
462982.88	-0.0184931680384176	462982.88	-0.0194952941861075	462982.88	-0.0194888973132881	462982.88	-0.0193742484626662	462982.88	-0.0173000431505915	462982.88	0.0138847273735528	462982.88	0.265405430728024	462982.88	3.25187851481545	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
453345.213	-0.0184931680384176	453345.213	-0.0194952989165347	453345.213	-0.0194889820407338	453345.213	-0.0193757660231949	453345.213	-0.0173271874116008	453345.213	0.013529483908138	453345.213	0.259019785644984	453345.213	3.17869382591066	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
442672.3498	-0.0184931680384176	442672.3498	-0.0194953041550641	442672.3498	-0.0194890758688809	442672.3498	-0.0193774465871655	442672.3498	-0.0173572472782073	442672.3498	0.01313608321178	442672.3498	0.251948248890806	442672.3498	3.09764826031731	190159.105698102	2.95669989000345	190159.105698102	3.78761207443753
408045.9052	-0.0184931680384176	408045.9052	-0.0194953211506582	408045.9052	-0.0194893802797103	408045.9052	-0.0193828989155738	408045.9052	-0.0174547718399137	408045.9052	0.0118597558418161	408045.9052	0.229005747795559	408045.9052	2.83470852854094	408045.9052	7.07866626860281	144998.581366821	2.71181096435291
402469.1736	-0.0184931680384176	402469.1736	-0.0194953238878686	402469.1736	-0.0194894293063289	402469.1736	-0.0193837770355333	402469.1736	-0.0174704785724797	402469.1736	0.0116541980590796	402469.1736	0.225310763447068	402469.1736	2.79236100115163	402469.1736	6.97316607212362	144998.581366821	2.71181096435291
402170.2572	-0.0184931680384176	402170.2572	-0.0194953240345849	402170.2572	-0.0194894319341872	402170.2572	-0.0193838241033278	402170.2572	-0.0174713204634458	402170.2572	0.0116431800297365	402170.2572	0.225112709909847	402170.2572	2.79009114645105	402170.2572	6.96751119374811	144998.581366821	2.71181096435291
385160.9691	-0.0184931680384176	385160.9691	-0.0194953323832028	385160.9691	-0.0194895814676307	385160.9691	-0.0193865024096276	385160.9691	-0.017519226720818	385160.9691	0.0110162193297161	385160.9691	0.213842837551551	385160.9691	2.66092923848199	385160.9691	6.64573073787658	144998.581366821	2.71181096435291
378420.0471	-0.0184931680384176	378420.0471	-0.0194953356918293	378420.0471	-0.0194896407289751	378420.0471	-0.0193875638446361	378420.0471	-0.0175382123680925	378420.0471	0.0107677496024086	378420.0471	0.209376493629889	378420.0471	2.60974130269821	378420.0471	6.51820647340401	144998.581366821	2.71181096435291
365609.7784	-0.0184931680384176	365609.7784	-0.0194953419794551	365609.7784	-0.0194897533476561	365609.7784	-0.0193895809674669	365609.7784	-0.0175742921867034	365609.7784	0.0102955643478358	365609.7784	0.200888772552105	365609.7784	2.51246511235087	365609.7784	6.27586275637785	144998.581366821	2.71181096435291
354123.4727	-0.0184931680384176	354123.4727	-0.0194953476172441	354123.4727	-0.0194898543270054	354123.4727	-0.0193913896172315	354123.4727	-0.0176066430948593	354123.4727	0.00987218024028338	354123.4727	0.193278271845295	354123.4727	2.42524258128398	354123.4727	6.05856567359014	144998.581366821	2.71181096435291
349158.3744	-0.0184931680384176	349158.3744	-0.0194953500542484	349158.3744	-0.0194898979765834	349158.3744	-0.0193921714285559	349158.3744	-0.0176206271767115	349158.3744	0.00968916720131687	349158.3744	0.189988538391525	349158.3744	2.38753955891693	349158.3744	5.96463631070158	144998.581366821	2.71181096435291
348305.749	-0.0184931680384176	348305.749	-0.01949535047274	348305.749	-0.0194899054722535	348305.749	-0.0193923056841442	348305.749	-0.0176230285759713	348305.749	0.00965773951225097	348305.749	0.189423612959552	348305.749	2.38106505376425	348305.749	5.94850640636422	144998.581366821	2.71181096435291
342427.2164	-0.0184931680384176	342427.2164	-0.0194953533580825	342427.2164	-0.0194899571520896	342427.2164	-0.0193932313261113	342427.2164	-0.0176395853239111	342427.2164	0.00944105737409678	342427.2164	0.185528663819612	342427.2164	2.33642576714565	342427.2164	5.83729676085979	144998.581366821	2.71181096435291
339463.7459	-0.0184931680384176	339463.7459	-0.0194953548126339	339463.7459	-0.0194899832047937	339463.7459	-0.0193936979583221	339463.7459	-0.0176479318684374	339463.7459	0.00933182414056894	339463.7459	0.183565152232518	339463.7459	2.31392232657014	339463.7459	5.78123404483984	144998.581366821	2.71181096435291
332292.4008	-0.0184931680384176	332292.4008	-0.0194953583325237	332292.4008	-0.0194900462501088	332292.4008	-0.0193948271683541	332292.4008	-0.0176681297921862	332292.4008	0.00906748905978542	332292.4008	0.178813622160292	332292.4008	2.2594659254336	332292.4008	5.64556706795501	144998.581366821	2.71181096435291
331404.4928	-0.0184931680384176	331404.4928	-0.0194953587683329	331404.4928	-0.0194900540559581	331404.4928	-0.0193949669795899	331404.4928	-0.017670630564054	331404.4928	0.00903476085752553	331404.4928	0.178225319477248	331404.4928	2.25272349796064	331404.4928	5.62876968999702	144998.581366821	2.71181096435291
324240.4707	-0.0184931680384176	324240.4707	-0.0194953622846284	324240.4707	-0.0194901170368947	324240.4707	-0.0193960950365321	324240.4707	-0.0176908078627466	324240.4707	0.00877069570180761	324240.4707	0.173478641417334	324240.4707	2.19832270483347	324240.4707	5.49324124908527	144998.581366821	2.71181096435291
323499.9423	-0.0184931680384176	323499.9423	-0.0194953626480998	323499.9423	-0.0194901235470884	323499.9423	-0.0193962116411699	323499.9423	-0.017692893543459	323499.9423	0.00874339989722606	323499.9423	0.172987988281434	323499.9423	2.1926994206321	323499.9423	5.47923198751378	144998.581366821	2.71181096435291
314721.0613	-0.0184931680384176	314721.0613	-0.0194953669570116	314721.0613	-0.0194902007247045	314721.0613	-0.0193975939760536	314721.0613	-0.0177176190540243	314721.0613	0.00841981119999214	314721.0613	0.167171350469375	314721.0613	2.12603601807656	314721.0613	5.31315376521464	144998.581366821	2.71181096435291
298518.5747	-0.0184931680384176	298518.5747	-0.0194953749096296	298518.5747	-0.0194903431653287	298518.5747	-0.0194001452422606	298518.5747	-0.0177632529740664	298518.5747	0.00782258912455404	298518.5747	0.156436041925273	298518.5747	2.003000646414	298518.5747	5.00663632052509	144998.581366821	2.71181096435291
296578.431	-0.0184931680384176	296578.431	-0.0194953758619045	296578.431	-0.0194903602216786	296578.431	-0.0194004507400018	296578.431	-0.0177687173428798	296578.431	0.00775107561704328	296578.431	0.155150557681182	296578.431	1.9882679509271	296578.431	4.9699328253187	144998.581366821	2.71181096435291
287611.9781	-0.0184931680384176	287611.9781	-0.0194953802628817	287611.9781	-0.0194904390482921	287611.9781	-0.0194018626102193	287611.9781	-0.0177939711452622	287611.9781	0.00742057303787399	287611.9781	0.149209640042797	287611.9781	1.92018020043044	287611.9781	4.80030613167051	144998.581366821	2.71181096435291
286714.85	-0.0184931680384176	286714.85	-0.0194953807032164	286714.85	-0.0194904469351979	286714.85	-0.019402003873265	286714.85	-0.0177964978853234	286714.85	0.00738750498362756	286714.85	0.148615228382732	286714.85	1.91336775910971	286714.85	4.78333432854177	144998.581366821	2.71181096435291
